time,state,players
255.215,Patrol,Player(Clone):8.640:True;Girl(Clone):8.640:True
255.330,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
255.432,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
255.549,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
255.652,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
255.755,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
255.860,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
255.962,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
256.062,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
256.180,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
256.286,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
256.388,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
256.504,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
256.622,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
256.713,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
256.830,Watching,Player(Clone):8.640:True;Girl(Clone):8.640:True
256.933,Watching,Player(Clone):8.517:True;Girl(Clone):8.640:True
257.038,Watching,Player(Clone):8.377:True;Girl(Clone):8.610:True
257.139,Watching,Player(Clone):8.227:True;Girl(Clone):8.515:True
257.241,Watching,Player(Clone):8.054:True;Girl(Clone):8.386:True
257.329,Watching,Player(Clone):7.986:True;Girl(Clone):8.264:True
257.437,Watching,Player(Clone):7.627:True;Girl(Clone):8.120:True
257.545,Watching,Player(Clone):6.928:True;Girl(Clone):7.926:True
257.653,Watching,Player(Clone):5.898:True;Girl(Clone):7.506:True
257.763,Watching,Player(Clone):4.498:True;Girl(Clone):6.842:True
257.877,Watching,Player(Clone):2.673:True;Girl(Clone):5.858:True
257.989,Watching,Player(Clone):0.528:True;Girl(Clone):4.383:True
258.089,Watching,Player(Clone):0.000:True;Girl(Clone):2.674:True
258.196,Watching,Player(Clone):0.000:True;Girl(Clone):0.966:True
